unix	unixinsert	unixdelete	bives	bivesinsert	bivesdelete	bivesmove	bivesupdate	bivestriggeredinsert	bivestriggereddelete	bivestriggeredmove	bivestriggeredupdate	bivesnode	bivesattribute	bivestext	modeltype	model	version1	version2
3033	1477	1556	254	27	74	145	8	22	0	0	0	234	15	5	SBML	"MODEL1202090001.xml"	2012-05-20	2012-08-11
30	29	1	38	32	2	4	0	26	1	0	0	24	9	5	SBML	"MODEL1202090001.xml"	2012-08-11	2012-12-12
17	1	16	12	0	12	0	0	0	9	0	0	9	3	0	SBML	"MODEL1202090001.xml"	2012-12-12	2013-06-18
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"MODEL1011080000.xml"	2011-09-01	2012-02-08
6	4	2	21	10	7	4	0	8	3	0	0	7	4	10	SBML	"MODEL1011080000.xml"	2012-02-08	2012-05-20
3363	1721	1642	287	276	7	4	0	8	4	0	0	16	271	0	SBML	"MODEL1011080000.xml"	2012-05-20	2012-08-11
15	15	0	12	12	0	0	0	9	0	0	0	9	3	0	SBML	"MODEL1011080000.xml"	2012-08-11	2012-12-12
33	1	32	30	0	28	2	0	0	21	0	0	21	7	2	SBML	"MODEL1011080000.xml"	2012-12-12	2013-06-18
4	2	2	2	0	0	0	2	0	0	0	0	0	0	2	SBML	"BIOMD0000000142.xml"	2007-09-25	2008-03-28
350	181	169	31	15	14	0	2	7	7	0	0	14	15	2	SBML	"BIOMD0000000142.xml"	2008-03-28	2008-08-21
332	166	166	7	6	0	1	0	3	0	0	0	3	2	2	SBML	"BIOMD0000000142.xml"	2008-08-21	2008-12-03
21	2	19	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000142.xml"	2008-12-03	2009-03-25
2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	SBML	"BIOMD0000000142.xml"	2009-06-16	2009-09-02
7	6	1	8	4	0	3	1	3	0	0	0	6	1	1	SBML	"BIOMD0000000142.xml"	2009-09-02	2010-01-26
84	46	38	140	70	63	5	2	63	50	0	0	68	27	45	SBML	"BIOMD0000000142.xml"	2010-04-27	2010-09-30
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000142.xml"	2010-09-30	2011-04-15
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000142.xml"	2011-09-01	2012-02-08
